mean_intensity,std_intensity,median_intensity,min_intensity,max_intensity,q25_intensity,q75_intensity,edge_density,malware_family
100.573486328125,28.728940489244966,104.0,0.0,148.0,88.0,123.0,123.0,Swizzor.gen!I
100.1162109375,26.11004676160128,105.0,11.0,147.0,90.0,120.0,57.0,Swizzor.gen!I
101.3857421875,21.818232856856962,102.0,0.0,144.0,96.0,112.0,109.0,Swizzor.gen!I
96.427978515625,29.794243761896162,95.0,0.0,152.0,82.0,122.0,186.0,Swizzor.gen!I
104.39453125,28.997737138529853,111.0,0.0,150.0,93.0,125.0,77.0,Swizzor.gen!I
101.687255859375,27.66213909207637,105.0,0.0,148.0,91.0,123.0,106.0,Swizzor.gen!I
101.90478515625,28.184991860292946,104.0,0.0,152.0,85.0,125.0,76.0,Swizzor.gen!I
103.58154296875,27.563344855994846,108.0,17.0,161.0,93.0,124.0,25.0,Swizzor.gen!I
102.872802734375,29.652539983890797,109.0,0.0,152.0,90.0,125.0,134.0,Swizzor.gen!I
100.983642578125,32.56636067584348,111.0,4.0,159.0,84.75,125.0,103.0,Swizzor.gen!I
100.50732421875,29.382370170300586,105.0,2.0,161.0,87.0,124.0,115.0,Swizzor.gen!I
100.271484375,29.223003155419036,104.0,3.0,155.0,86.0,124.0,71.0,Swizzor.gen!I
102.932373046875,30.83646011296264,109.0,0.0,161.0,87.0,127.0,156.0,Swizzor.gen!I
105.84716796875,27.708453234554145,110.0,0.0,154.0,96.0,126.0,118.0,Swizzor.gen!I
96.3173828125,28.548835123351875,95.0,0.0,150.0,82.0,123.0,134.0,Swizzor.gen!I
85.806396484375,45.025783283101944,103.0,0.0,160.0,53.0,121.0,614.0,Swizzor.gen!I
102.71630859375,27.21848248373281,104.0,6.0,151.0,89.0,124.0,120.0,Swizzor.gen!I
103.83935546875,28.755342132325246,110.0,5.0,157.0,92.0,125.0,117.0,Swizzor.gen!I
81.2919921875,46.44817859991863,98.0,0.0,160.0,43.0,118.0,809.0,Swizzor.gen!I
102.380859375,30.402740432796097,108.0,0.0,162.0,89.0,125.0,133.0,Swizzor.gen!I
95.545166015625,25.804590023502264,95.0,0.0,144.0,89.0,107.0,153.0,Swizzor.gen!I
101.88671875,29.87792316005914,106.0,0.0,160.0,89.0,125.0,139.0,Swizzor.gen!I
103.0849609375,28.850429352552087,106.0,0.0,153.0,90.0,126.0,144.0,Swizzor.gen!I
101.3681640625,30.562191686654828,107.0,1.0,154.0,89.0,125.0,137.0,Swizzor.gen!I
105.3037109375,27.71525389977409,112.0,0.0,155.0,92.0,126.0,88.0,Swizzor.gen!I
104.0244140625,27.892448113531596,109.0,0.0,153.0,92.0,125.0,143.0,Swizzor.gen!I
98.69091796875,28.722187218428516,98.0,0.0,156.0,84.0,123.0,125.0,Swizzor.gen!I
97.8876953125,26.587416346265492,101.0,12.0,146.0,86.0,119.0,34.0,Swizzor.gen!I
103.718017578125,27.151202918068446,108.0,3.0,150.0,93.0,124.0,82.0,Swizzor.gen!I
85.35693359375,43.81490209146487,99.0,0.0,162.0,57.0,120.0,668.0,Swizzor.gen!I
100.064208984375,34.3035483009331,112.0,7.0,162.0,83.0,125.0,202.0,Swizzor.gen!I
104.550048828125,27.986410886956428,109.0,0.0,151.0,95.0,125.0,85.0,Swizzor.gen!I
105.6005859375,29.503378706945195,114.0,0.0,160.0,94.0,126.0,145.0,Swizzor.gen!I
104.519775390625,27.38743117339915,108.0,6.0,150.0,93.0,125.0,127.0,Swizzor.gen!I
100.467529296875,26.587376592867123,106.0,9.0,144.0,92.0,120.0,66.0,Swizzor.gen!I
103.7314453125,27.530552053102237,108.0,16.0,158.0,92.0,125.0,29.0,Swizzor.gen!I
102.990234375,29.78215014287196,109.0,4.0,157.0,89.0,126.0,116.0,Swizzor.gen!I
100.06689453125,30.2520001554102,105.0,0.0,155.0,80.0,125.0,113.0,Swizzor.gen!I
96.950439453125,26.701917848706458,100.0,15.0,144.0,84.0,119.0,21.0,Swizzor.gen!I
101.703369140625,29.27547382289724,105.5,0.0,150.0,88.0,125.0,86.0,Swizzor.gen!I
100.445556640625,30.606387277341636,106.0,0.0,157.0,82.0,126.0,106.0,Swizzor.gen!I
79.937255859375,47.38255133057624,96.0,0.0,154.0,38.0,119.0,836.0,Swizzor.gen!I
97.7880859375,34.75667391297123,108.0,0.0,160.0,78.0,125.0,188.0,Swizzor.gen!I
105.28125,29.879012217503945,113.0,3.0,154.0,96.0,126.0,128.0,Swizzor.gen!I
97.86865234375,37.071692495918604,112.0,0.0,156.0,76.0,126.0,210.0,Swizzor.gen!I
103.859130859375,30.542929406731677,112.0,3.0,159.0,88.0,125.0,160.0,Swizzor.gen!I
99.704345703125,30.206511557772842,102.0,0.0,154.0,84.0,125.0,113.0,Swizzor.gen!I
99.09375,25.629334618143133,102.0,5.0,145.0,90.0,117.0,101.0,Swizzor.gen!I
102.8369140625,28.895678212896126,107.0,0.0,151.0,90.0,125.0,142.0,Swizzor.gen!I
101.88330078125,29.4031788786067,107.0,1.0,151.0,90.0,124.0,179.0,Swizzor.gen!I
121.517333984375,26.78726945774309,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
119.333984375,29.97231433026579,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
119.3291015625,29.947416363503883,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.41943359375,26.709745435733453,127.0,0.0,185.0,119.0,134.0,73.0,Instantaccess
121.553955078125,26.799248600815183,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
119.322509765625,29.925179177060937,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.620849609375,26.826310270248943,127.0,0.0,185.0,119.0,135.0,73.0,Instantaccess
121.4775390625,26.80705406884607,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.4228515625,26.73689817274699,127.0,0.0,185.0,119.0,134.0,74.0,Instantaccess
121.517578125,26.78244752999661,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
119.322509765625,29.938661922094173,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.478759765625,26.792670734781996,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.589111328125,26.8604133487359,127.0,0.0,185.0,119.0,135.0,73.0,Instantaccess
119.309814453125,29.97291194648111,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.608642578125,26.827591060375106,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
119.2841796875,29.923377144261515,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.47265625,26.77968625785851,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.458740234375,26.79205508355958,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.48876953125,26.784748000290605,127.0,0.0,185.0,119.0,134.0,73.0,Instantaccess
119.365966796875,30.047327641268033,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
119.218994140625,29.918641969004824,127.0,0.0,188.0,118.0,134.0,119.0,Instantaccess
121.48193359375,26.791306195619974,127.0,0.0,185.0,119.0,134.0,73.0,Instantaccess
119.3115234375,29.94725382638011,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.426513671875,26.723052836167103,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.590087890625,26.82785999053899,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
121.478515625,26.767071205524726,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
119.3662109375,29.93702163791942,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
119.342041015625,29.980762877372804,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
120.458251953125,27.47526791396823,127.0,0.0,167.0,118.0,134.0,131.0,Instantaccess
121.498046875,26.751305022448022,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.4208984375,26.70690696545671,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
119.26904296875,29.958522411823253,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.50244140625,26.7949934451762,127.0,0.0,185.0,119.0,135.0,73.0,Instantaccess
119.24755859375,29.960997496623182,127.0,0.0,188.0,118.0,134.0,116.0,Instantaccess
121.483154296875,26.777534190362566,127.0,0.0,185.0,119.0,134.0,74.0,Instantaccess
121.46337890625,26.764336598970516,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.4873046875,26.74993310010869,127.0,0.0,185.0,119.0,134.0,73.0,Instantaccess
119.323974609375,29.931452798425195,127.0,0.0,188.0,118.0,134.0,116.0,Instantaccess
121.41845703125,26.715116550499033,127.0,0.0,185.0,119.0,134.0,73.0,Instantaccess
121.60009765625,26.822809789253313,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
119.368896484375,29.935940710844395,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
121.581787109375,26.84831797443259,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
121.562255859375,26.861443368385352,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
121.627197265625,26.813099726614368,127.0,0.0,185.0,119.0,135.0,72.0,Instantaccess
121.538330078125,26.745472666394605,127.0,0.0,185.0,119.0,134.0,73.0,Instantaccess
121.4775390625,26.738205332679616,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
121.5986328125,26.844632881398255,127.0,0.0,185.0,119.0,135.0,73.0,Instantaccess
121.528076171875,26.779512283363616,127.0,0.0,185.0,119.0,134.0,72.0,Instantaccess
119.336181640625,29.952159437198876,127.0,0.0,188.0,118.0,134.0,118.0,Instantaccess
120.3515625,27.421077045014002,127.0,0.0,163.0,118.0,134.0,131.0,Instantaccess
94.371826171875,46.28229106257634,101.0,0.0,243.0,62.0,129.0,413.0,Dialplatform.B
94.35888671875,38.90359691168485,99.0,0.0,195.0,67.0,125.0,249.0,Dialplatform.B
94.49169921875,45.787664113855826,100.0,0.0,254.0,63.0,127.0,386.0,Dialplatform.B
94.597900390625,46.16596763696463,99.0,0.0,254.0,63.0,129.0,385.0,Dialplatform.B
94.810791015625,45.9152964065447,100.0,0.0,254.0,63.0,129.0,385.0,Dialplatform.B
94.3935546875,46.36989208583191,100.0,0.0,243.0,62.0,130.0,410.0,Dialplatform.B
94.788818359375,45.91727958431377,100.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.713623046875,46.01701525869365,100.0,0.0,254.0,63.0,128.0,384.0,Dialplatform.B
94.487060546875,46.34385882227874,100.0,0.0,243.0,62.0,129.25,408.0,Dialplatform.B
94.384521484375,46.18924265853121,101.0,0.0,243.0,62.0,129.0,413.0,Dialplatform.B
94.59130859375,45.95940126986488,100.0,0.0,254.0,63.0,128.0,387.0,Dialplatform.B
94.742431640625,45.931848252937456,100.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.709716796875,45.782481460803965,101.0,0.0,254.0,63.0,128.0,383.0,Dialplatform.B
90.9697265625,48.3225810302516,96.0,0.0,254.0,57.0,127.0,509.0,Dialplatform.B
92.5498046875,40.75898530108856,98.0,0.0,196.0,65.0,123.0,317.0,Dialplatform.B
94.457763671875,45.797998997623644,100.0,0.0,254.0,63.0,128.0,387.0,Dialplatform.B
94.659912109375,45.78411695792849,100.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.658935546875,46.12180960807142,99.5,0.0,254.0,63.0,129.0,385.0,Dialplatform.B
92.457275390625,47.19938416985971,97.0,0.0,254.0,60.0,127.0,449.0,Dialplatform.B
94.863037109375,46.028842445468,100.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.828857421875,46.0446640890921,100.0,0.0,254.0,63.0,129.0,387.0,Dialplatform.B
94.509033203125,45.706988794398185,100.0,0.0,254.0,63.0,128.0,389.0,Dialplatform.B
94.553466796875,46.295412382955206,101.0,0.0,243.0,62.0,129.0,411.0,Dialplatform.B
94.748046875,46.078328946795075,100.0,0.0,254.0,63.0,129.0,386.0,Dialplatform.B
94.48779296875,46.156602776792816,100.0,0.0,254.0,62.75,128.0,389.0,Dialplatform.B
94.868408203125,45.931526163500926,100.0,0.0,254.0,63.75,129.0,384.0,Dialplatform.B
94.417236328125,46.00683527870742,100.0,0.0,254.0,62.0,128.0,389.0,Dialplatform.B
94.831787109375,45.900056756858184,101.0,0.0,254.0,63.0,129.0,385.0,Dialplatform.B
94.767578125,45.925430850695584,100.0,0.0,254.0,63.0,129.0,385.0,Dialplatform.B
94.543701171875,45.83364689683581,100.0,0.0,254.0,63.0,128.0,385.0,Dialplatform.B
94.5185546875,45.98237229606115,99.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.605712890625,45.92848611160078,100.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.52978515625,45.84538054735686,100.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.584228515625,46.35201202578379,101.0,0.0,243.0,62.0,129.0,412.0,Dialplatform.B
94.740234375,45.95815758255076,100.0,0.0,254.0,63.0,129.0,387.0,Dialplatform.B
94.584228515625,46.28920145327802,101.0,0.0,243.0,62.0,129.0,411.0,Dialplatform.B
94.87744140625,46.14279825664671,100.0,0.0,254.0,63.0,128.0,388.0,Dialplatform.B
94.88671875,45.91891481373333,101.0,0.0,254.0,63.0,129.0,385.0,Dialplatform.B
94.918701171875,46.05316520355762,100.0,0.0,254.0,63.0,129.0,384.0,Dialplatform.B
94.471923828125,45.79581351987672,99.0,0.0,254.0,63.0,128.0,386.0,Dialplatform.B
94.889892578125,46.13816012494455,100.0,0.0,254.0,63.0,129.0,388.0,Dialplatform.B
94.4443359375,45.704071327258646,100.0,0.0,254.0,63.0,128.0,384.0,Dialplatform.B
94.470947265625,46.22955772556261,101.0,0.0,243.0,62.0,129.0,409.0,Dialplatform.B
94.41064453125,45.73844334030132,100.0,0.0,254.0,63.0,128.0,389.0,Dialplatform.B
94.6162109375,46.46862570278473,101.0,0.0,243.0,62.0,130.0,411.0,Dialplatform.B
94.86181640625,45.95518310825416,100.0,0.0,254.0,63.0,129.0,383.0,Dialplatform.B
94.485595703125,46.004949287250405,99.5,0.0,254.0,63.0,129.0,388.0,Dialplatform.B
94.417236328125,45.801541853000074,99.0,0.0,254.0,63.0,128.0,387.0,Dialplatform.B
94.9775390625,46.115360224455436,100.0,0.0,254.0,63.0,129.0,386.0,Dialplatform.B
94.87744140625,46.08114890146076,100.0,0.0,254.0,63.0,129.0,387.0,Dialplatform.B
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
108.948974609375,29.745085333339297,112.0,16.0,238.0,99.75,125.0,2.0,Autorun.K
38.307373046875,47.6472584174649,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.311767578125,47.65191289896298,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
49.9404296875,48.21198375050666,39.0,0.0,193.0,0.0,91.0,1722.0,Dontovo.A
38.310791015625,47.65095094267775,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
56.8984375,54.859381119160865,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
38.303955078125,47.643534614964885,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.310302734375,47.651686782617304,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
56.90283203125,54.86233509696884,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
38.30517578125,47.64563029798786,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
49.95166015625,48.21369269470558,39.0,0.0,193.0,0.0,91.0,1720.0,Dontovo.A
38.311279296875,47.65199294228115,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
56.8994140625,54.85950752661682,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
56.9013671875,54.86243038420781,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
49.943603515625,48.211417875615055,39.0,0.0,193.0,0.0,91.0,1721.0,Dontovo.A
49.94482421875,48.21329038445378,39.0,0.0,193.0,0.0,91.0,1722.0,Dontovo.A
49.941162109375,48.20816885095307,39.0,0.0,193.0,0.0,91.0,1720.0,Dontovo.A
49.932373046875,48.20083378705275,39.0,0.0,193.0,0.0,91.0,1722.0,Dontovo.A
56.90380859375,54.86277737194284,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
38.31689453125,47.655549869084645,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.30908203125,47.64759834927893,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.306640625,47.64587709697031,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
49.946044921875,48.210468636128915,39.0,0.0,193.0,0.0,91.0,1720.0,Dontovo.A
49.9521484375,48.214133723387754,39.0,0.0,193.0,0.0,91.0,1721.0,Dontovo.A
56.904541015625,54.86298112688716,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
56.902587890625,54.86155367311267,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
49.930908203125,48.20574964243612,39.0,0.0,193.0,0.0,91.0,1723.0,Dontovo.A
49.93505859375,48.205236292868165,39.0,0.0,193.0,0.0,91.0,1721.0,Dontovo.A
49.953125,48.21527905929432,39.0,0.0,193.0,0.0,91.0,1720.0,Dontovo.A
38.306640625,47.646143547663954,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.311279296875,47.65108096684389,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.3046875,47.64320454130729,15.0,0.0,198.0,0.0,72.25,2338.0,Dontovo.A
38.309326171875,47.64776329080168,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.315673828125,47.655657869631405,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.310791015625,47.64937287222657,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.31005859375,47.649697873317535,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
56.904296875,54.863806171561,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
49.94921875,48.20858568517281,39.0,0.0,193.0,0.0,91.0,1721.0,Dontovo.A
49.948974609375,48.20941849032341,39.0,0.0,193.0,0.0,91.0,1721.0,Dontovo.A
38.313232421875,47.65164712096016,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
38.30712890625,47.6475289966982,15.0,0.0,198.0,0.0,72.0,2338.0,Dontovo.A
49.946044921875,48.209146898787985,39.0,0.0,193.0,0.0,91.0,1720.0,Dontovo.A
56.9072265625,54.86642770568396,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
56.901123046875,54.85961521512219,42.0,0.0,212.0,0.0,102.0,1624.0,Dontovo.A
